nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
RUA RUI BARBOSA,275,86870000,JARDIM OURO PRETO,IVAIPORA,PR,"-24,2414668","-51,6835212",11253
RUA GRACILIANO ALBUQUERQUE DE SOUZA,86,18160000,JARDIM PRIMAVERA,SALTO DE PIRAPORA,SP,"-23,6541134","-47,5743727",11254
AVENIDA 20 DE MARCO,SN,99175000,CENTRO,NICOLAU VERGUEIRO,RS,"-28,5303333","-52,4681435",11255
RUA CAETANO PESSI,261,37190000,CIDADE JARDIM,TRES PONTAS,MG,"-21,3699248","-45,5113164",11257
RUA DOUTOR ALBERTO TORRES,2189,24426270,PORTO VELHO,SAO GONCALO,RJ,"-22,8419383","-43,0908203",11258
RUA DOUTOR LUIZ JANUARIO,406,28990790,CENTRO,SAQUAREMA,RJ,"-22,9326336","-42,4960107",11259
RUA DO QUARTEL,198,96210052,CASSINO,RIO GRANDE,RS,"-32,0319414","-52,0996074",11260
RODOVIA GO 40,,75610000,SETOR ZONA RURAL,JOVIANIA,GO,"-17,805538","-49,6148845",11262
RUA CARANGOLA,240,39860000,CENTRO,NANUQUE,MG,"-17,8350289","-40,3455662",11264
RUA 204,,75650000,SETOR AEROPORTO,MORRINHOS,GO,"-17,7268255","-49,1215621",11265
ALAMEDA DO TISIO,41,11250000,JARDIM RIO DA GRANJA MANGUE SECO,BERTIOGA,SP,"-23,8323034","-46,1218268",11266
BLOCO C,,98120000,INTERIOR,BOA VISTA DO INCRA,RS,"-28,8191013","-53,387477",11267
RUA TIJUCO PRETO,1593,03316000,TATUAPE,SAO PAULO,SP,"-23,5416712","-46,5604489",11268
TRAVESSA ANTONIO AMARAL,37,45206040,JEQUIEZINHO,JEQUIE,BA,"-13,870515","-40,0751174",11270
RUA VEREADORA LUCIA TEIXEIRA,39E,41207360,TANCREDO NEVES,SALVADOR,BA,"-12,9722184","-38,5014136",11271
RUA LOPES CARDOSO,39,40301155,CONCEICAO DA PRAIA,SALVADOR,BA,"-12,9730401","-38,502304",11272
RUA DO POSTO,SN,62280000,CATUNDA,SANTA QUITERIA,CE,"-4,3253636","-40,1526661",11273
RUA PASTOR FRITZ BUHLER,76,89201470,CENTRO,JOINVILLE,SC,"-26,3072573","-48,8492117",11274
LOCALIDADE RIO BARIGUI,SN,83370000,SITIO DOS ARANTES,ANTONINA,PR,"-25,4328356","-48,7162067",11276
RUA CORONEL GONZAGA,SN,75690000,CENTRO,CALDAS NOVAS,GO,"-17,7459672","-48,6245639",11278
RUA JULIO TISSI,466,89265800,NEREU RAMOS,JARAGUA DO SUL,SC,"-26,4525131","-49,1756778",11280
RUA PARACATU,357,04302020,PARQUE IMPERIAL,SAO PAULO,SP,"-23,6214156","-46,6381885",11282
RUA 4,,64740000,CENTRO,CONCEICAO DO CANINDE,PI,"-7,8785934","-41,5957876",11284
RUA DO BANCARIO,15,84065010,PERIQUITOS,PONTA GROSSA,PR,"-25,0945465","-50,1632873",11285
AVENIDA DEZ DE DEZEMBRO,7233,86046050,PARQUE OURO BRANCO,LONDRINA,PR,"-23,3566723","-51,1499063",11286
AVENIDA MARECHAL TITO,734,08010090,SAO MIGUEL PAULISTA,SAO PAULO,SP,"-23,4944224","-46,4390518",11288
RUA JOAO CARLOS DO SACRAMENTO,69,41710330,BOCA DO RIO,SALVADOR,BA,"-12,9789844","-38,4336671",11290
RUA MIGUEL DA MATA SA,1,08275170,JARDIM N S DO CARMO,SAO PAULO,SP,"-23,5505199","-46,6333094",11291
PRACA PROFESSOR MARIO BULCAO,283,03214070,VILA CALIFORNIA,SAO PAULO,SP,"-23,607248","-46,5627298",11292
RUA SAO JOAO DEL REI,38,37300000,ROSARIO,ANDRELANDIA,MG,"-21,7372648","-44,3045255",11293
ESTRADA LARAMARA,235,07600000,JUNDIAIZINHO,MAIRIPORA,SP,"-23,3183726","-46,5872221",11295
RUA SAO JOAO BATISTA,95,64205360,JOAO XXIII,PARNAIBA,PI,"-2,9039285","-41,7762612",11296
ACESSO TREVO DE ACESSO NA BR,468,98580000,TURVINHO,CORONEL BICACO,RS,"-27,7163147","-53,7060219",11297
AVENIDA ESTRADA DO ARACAGY,4,65110000,JARDIM ARACAGY,SAO JOSE DE RIBAMAR,MA,"-2,5631805","-44,0625642",11298
RUA CORONEL FRANCISCO MARTINS,988,14540000,CENTRO,IGARAPAVA,SP,"-20,0343013","-47,7494921",11300
RUA ALVORADA,14,81510640,GUABIROTUBA,CURITIBA,PR,"-25,4748947","-49,2420192",11301
RUA DOS EXPEDICIONARIOS,260,84950000,CENTRO,WENCESLAU BRAZ,PR,"-23,8722412","-49,8020115",11302
RUA CAMPINAS DO SUL,45,22710280,CURICICA,RIO DE JANEIRO,RJ,"-22,9473527","-43,3826162",11303
RUA B,SN,40330470,BROTAS,SALVADOR,BA,"-12,8480347","-38,4489897",11304
AVENIDA CAXANGA,3564,50670000,IPUTINGA,RECIFE,PE,"-8,040882","-34,9375262",11306
AVENIDA FRANCISCO FALCONI,1084,03227000,JARDIM AVELINO,SAO PAULO,SP,"-23,5929431","-46,5647678",11308
RUA BELO HORIZONTE,545,88115270,SERRARIA,SAO JOSE,SC,"-27,5440594","-48,634619",11310
AVENIDA OTACILIO NEGRAO DE LIMA,8000,31270802,PAMPULHA,BELO HORIZONTE,MG,"-19,8549986","-44,0052831",11311
AVENIDA THIAGO FERREIRA,215,11450000,VILA ALICE VICENTE DE CARVALHO,GUARUJA,SP,"-23,9411812","-46,3046705",11312
RUA HUMBERTO PORFILIO CORTES,56,45950000,BIRRO FRAGA,LAJEDAO,BA,"-17,6096406","-40,3452015",11314
RUA OFION,68,02056040,VILA GUILHERME,SAO PAULO,SP,"-23,5110872","-46,6041063",11315
RUA ANTONIO MASCERI,1,17026837,NUCLEO HAB NOBUJI NAGASAWA,BAURU,SP,"-22,2935868","-49,059702",11316
RUA SANTO ANTONIO,35,40710730,PLATAFORMA,SALVADOR,BA,"-13,0047894","-38,4724382",11317
AVENIDA ALMIRANTE BARROSO,SN,68750000,BRASILIA,CURUCA,PA,"-0,7398782","-47,851888",11319
RUA RSC,324,95320000,VILA SABIA,NOVA PRATA,RS,"-28,7814459","-51,607615",11320
RUA NHAMBU,255,07141150,JARDIM SANTA INES,GUARULHOS,SP,"-23,4260478","-46,5056941",11321
RUA TIBURCIO NEMEZIO,57,57700000,CENTRO,VICOSA,AL,"-9,363378","-36,238616",11322
RUA JOSE IBIAPINA ROCHA,,62550000,CENTRO,MORRINHOS,CE,"-3,2266113","-40,1228644",11323
CL QUADRA 202 BLOCO D,SN,70832545,ASA NORTE,BRASILIA,DF,"-15,801519","-47,860297",11324
ESTRADA VELHA SP RJ,,12340060,SAO SILVESTRE,JACAREI,SP,"-23,2987827","-45,9662542",11326
FAZENDA JACARE,SN,35590000,ZONA RURAL,LAGOA DA PRATA,MG,"-20,0272246","-45,5353426",11327
RUA SAMOEL MORELLI FILHO,230,08572005,PEDREIRA,ITAQUAQUECETUBA,SP,"-23,4924223","-46,3386423",11328
RUA DAS TIPUANAS,356,87060130,CONJUNTO HAB INOC V NOVA JUNIOR,MARINGA,PR,"-23,4509717","-51,9576218",11330
RUA SIRINHAEM,85,03239140,PARQUE SAO LUCAS,SAO PAULO,SP,"-23,5954432","-46,5440889",11331
RUA DIOGO DE OLIVEIRA,216,02553040,SITIO DO MORRO,SAO PAULO,SP,"-23,500714","-46,6684809",11332
AVENIDA SAO JOAO,509,85570000,CENTRO,SAO JOAO,PR,"-25,8260827","-52,7275166",11334
RUA BARAO DE SUASSUI,623,36400000,SANTA EFIGENIA,CONSELHEIRO LAFAIETE,MG,"-20,6551875","-43,7889377",11335
RUA MARIA QUINTINA DOS SANTOS,11,06122190,JARDIM CALIFORNIA,OSASCO,SP,"-23,5406977","-46,7948745",11337
RUA JULIO SIQUEIRA,756,60130090,DIONISIO TORRES,FORTALEZA,CE,"-3,7504062","-38,5067677",11338
RUA RIVADAVIA CORREA,405,97573000,CENTRO,SANTANA DO LIVRAMENTO,RS,"-30,8925609","-55,5352394",11341
RUA 7 DE SETEMBRO,645,97760000,CENTRO,JAGUARI,RS,"-29,5059516","-54,6752647",11343
AVENIDA CENTENARIO,330,44700000,NAZARE,JACOBINA,BA,"-11,1857561","-40,5182633",11345
RUA DIANOPOLIS,1672,03126007,PARQUE DA MOOCA,SAO PAULO,SP,"-23,5832077","-46,5904532",11347
RUA PROFESSORA ANA DE OLIVEIRA VIANA,154,81030200,FANNY,CURITIBA,PR,"-25,4794939","-49,2646344",11348
AVENIDA DOUTOR CARDOSO DE MELO,1460,04548005,VILA OLIMPIA,SAO PAULO,SP,"-23,5966674","-46,6878902",11349
RUA CAPITAO JOSE DA PENHA,130,59380000,CENTRO,CURRAIS NOVOS,RN,"-6,2622693","-36,5142902",11350
POVOADO OITEIRO,SN,65500000,ZONA RURAL,CHAPADINHA,MA,"-3,7415256","-43,360096",11351
RUA FAGUNDES VARELA,715,75709380,MONSENHOR SOUZA,CATALAO,GO,"-18,1607993","-47,9597829",11353
AVENIDA RUI BARBOSA,2047,06311000,CENTRO,CARAPICUIBA,SP,"-23,5242308","-46,8451127",11354
TRAVESSA RUY BARBOSA,445,48500000,CENTRO,EUCLIDES DA CUNHA,BA,"-10,5089989","-39,0132267",11356
RUA BORGES DE MEDEIROS,191,93310280,CENTRO,NOVO HAMBURGO,RS,"-29,6846047","-51,1418563",11358
RUA BENJAMIN CONSTANT,383,89801070,CENTRO,CHAPECO,SC,"-27,0981713","-52,6120128",11360
RUA RIO AMAZONAS,34,13301100,LIBERDADE,ITU,SP,"-23,2557276","-47,3015023",11361
RUA DO BABACU,33A,65485000,MANGAL ESCURO,ITAPECURU MIRIM,MA,"-3,3951287","-44,3591355",11363
AVENIDA DOUTOR SILVA MELO,520,04675010,JARDIM TAQUARAL,SAO PAULO,SP,"-23,6600471","-46,685651",11364
AVENIDA CASTELO BRANCO,1111,77600000,CENTRO,PARAISO DO TOCANTINS,TO,"-10,17533","-48,88506",11366
AVENIDA MADRE LEONIA MILITO,1377,86050270,BELA SUICA,LONDRINA,PR,"-23,3354709","-51,1768436",11368
AVENIDA SANTA LUZIA,40,59615000,SANTA DELMIRA,MOSSORO,RN,"-5,1535095","-37,3555656",11369
RUA VERIANO PEREIRA,63,04144030,SAUDE,SAO PAULO,SP,"-23,6152825","-46,6379018",11371
ZONA RURAL,SN,18285000,BARRO AMARELO,CESARIO LANGE,SP,"-23,2288284","-47,9504714",11372
RUA ESPIRITO SANTO,33,37905000,CENTRO,FORTALEZA DE MINAS,MG,"-20,8509871","-46,7110222",11374
RUA SAO JOSE DOS PINHAIS,531,83504100,JARDIM ROMA,ALMIRANTE TAMANDARE,PR,"-25,3260533","-49,2666976",11375
RUA PADRE FERRO,,78120580,JARDIM MARINGA,VARZEA GRANDE,MT,"-15,666755","-56,0850349",11376
SRTVS QUADRA 701,SN,70340000,ASA SUL,BRASILIA,DF,"-15,7980619","-47,8937279",11377
RUA JOAO LISBOA,16,65495000,CENTRO,MIRANDA DO NORTE,MA,"-3,5692778","-44,5827221",11379
RUA DO PETROLEO,285,12050740,CHACARA DO VISCONDE,TAUBATE,SP,"-23,0200125","-45,5667953",11380
LIN,7,76960000,ZONA RURAL,CACOAL,RO,"-11,4350904","-61,4723939",11382
AVENIDA LEONCIO LOPES DE MIRANDA,255,78132000,VITORIA REGIA,VARZEA GRANDE,MT,"-15,7046659","-56,1311681",11383
RUA DIVINO NAZARIO,35,38720000,PLANALTO,LAGOA FORMOSA,MG,"-18,7762154","-46,4049604",11385
RUA A,SN,78675000,SET INDUSTRIAL,RIBEIRAO CASCALHEIRA,MT,"-12,9371655","-51,8248805",11386
RUA MAJOR HEITOR GUIMARAES,2042,80740340,CAMPINA DO SIQUEIRA,CURITIBA,PR,"-25,4354016","-49,3137979",11388
RUA BENTA MARIA DE BARROS,80,13908000,CENTRO ARCADAS,AMPARO,SP,"-22,7170445","-46,8407158",11389
RUA FRANCISCO EGIDIO DOS SANTOS,23,58922000,CENTRO,BERNARDINO BATISTA,PB,"-6,4519443","-38,5507076",11390
FAZENDA SAO FERNANDO,SN,13380000,VENTANIA,MOMBUCA,SP,"-22,9428223","-47,5963285",11391
AVENIDA SETE DE SETEMBRO,1907,40080002,VITORIA,SALVADOR,BA,"-12,9902378","-38,5244616",11392
RUA MARECHAL DEODORO DA FONSECA,,55818550,SAO SEBASTIAO,CARPINA,PE,"-7,8503703","-35,2519184",11394
AVENIDA PREFEITO ALBERTO MOURA,110,35701970,INTERLAGOS I,SETE LAGOAS,MG,"-19,4370038","-44,2183197",11395
RUA PRESIDENTE GASPAR DUTRA,105,89035480,VILA NOVA,BLUMENAU,SC,"-26,9002185","-49,0893165",11398
RUA EDUARDO HORN,250,88095580,JARDIM ATLANTICO,FLORIANOPOLIS,SC,"-27,5835888","-48,5997574",11399
RUA ELFRIDA KELLER,125,85858550,COHAPAR III,FOZ DO IGUACU,PR,"-25,5163356","-54,5853764",11401
RUA CASCA DANTA,240,37922000,CENTRO,VARGEM BONITA,MG,"-20,3307219","-46,3673383",11402
RUA ISAAC MELEM,173,19085220,PARQUE RESIDENCIAL SERVANTES,PRESIDENTE PRUDENTE,SP,"-22,1097824","-51,4392778",11403
AVENIDA LIBERDADE,4097,58306001,CENTRO,BAYEUX,PB,"-7,1262483","-34,9298656",11404
RUA QUINZE DE NOVEMBRO,681,89188970,CENTRO,AGRONOMICA,SC,"-27,2645719","-49,7106503",11405
GALERIA EDEN CLUBE,13,36520000,CENTRO,VISCONDE DO RIO BRANCO,MG,"-21,013792","-42,8376099",11407
RUA IDALY SCHIO,100,95012580,SAO JOSE,CAXIAS DO SUL,RS,"-29,1485133","-51,1831977",11410
RUA CABUL,,76200000,VILA BRASILIA II,IPORA,GO,"-16,4419001","-51,1038853",11411
RUA 18 DE AGOSTO,170,40296130,CANDEAL,SALVADOR,BA,"-12,9954296","-38,4808451",11412
RUA AVELINO ANTONIO CARDOSO,31,09340630,PARQUE ALVORADA,MAUA,SP,"-23,671357","-46,423274",11413
RODOVIA BR 452,SN,75920000,ZONA RURAL,SANTA HELENA DE GOIAS,GO,"-17,8229959","-50,5883478",11414
RUA SANTOS DUMONT,234,69911069,AROPORTO VELHO,RIO BRANCO,AC,"-9,9928835","-67,8192339",11415
SITIO PALMEIRAS,SN,13160000,PARADA,ARTUR NOGUEIRA,SP,"-22,5731363","-47,1724328",11416
RUA DNER,2083,65975000,ALTO BONITO,ESTREITO,MA,"-5,783333","-43,25",11417
AVENIDA PELOTAS,338,96207580,CIDADE NOVA,RIO GRANDE,RS,"-32,0385764","-52,1140465",11418
RUA 89,488,61814164,JEREISSATI II,PACATUBA,CE,"-3,9568171","-38,6092393",11420
AVENIDA CAMPOS SALES,1437,13465590,JARDIM GIRASSOL,AMERICANA,SP,"-22,7452789","-47,3470134",11421
QMSW 4,SN,70680400,SETOR SUDOESTE,BRASILIA,DF,"-15,801519","-47,860297",11422
RUA LIVIA MOREIRA,15,39740000,CENTRO,GUANHAES,MG,"-18,7779217","-42,9351178",11424
RUA TIRADENTES,140,36200062,CENTRO,BARBACENA,MG,"-21,219717","-43,7714939",11426
RUA JORGE KURY BRAHIM,27,81310415,CRUZ PILARZINHO,CURITIBA,PR,"-25,3911601","-49,2833652",11427
RUA AUGUSTO DE ALMEIDA,296,58200000,NOVO,GUARABIRA,PB,"-6,8484156","-35,4921189",11429
AVENIDA BRASIL OESTE,844,99025003,CENTRO,PASSO FUNDO,RS,"-28,2454078","-52,3854371",11430
RUA SIQUEIRA CAMPOS,271,22031071,COPACABANA,RIO DE JANEIRO,RJ,"-22,9647036","-43,1904358",11432
RUA RENATO MENARIN,3011,84174440,INVERNADA DO MATADOURO,CASTRO,PR,"-24,8069084","-49,9902643",11434
AVENIDA CASTRO ALVES,775,17506000,SAO MIGUEL,MARILIA,SP,"-22,2021339","-49,9565427",11435
,,72860584,PARQUE ESTRELA DALVA VI PEDREGAL,NOVO GAMA,GO,"-16,1015799","-48,0733155",11437
RUA PATROCINIO DO SAPUCAI,1036,13091105,JARDIM FLAMBOYANT,CAMPINAS,SP,"-22,8803455","-47,0381286",11438
RUA BENEDITO DE OLIVEIRA,1963,14400810,CENTRO,FRANCA,SP,"-20,5196796","-47,4024006",11440
RUA ANTONIO MARTINS DE ARAUJO,47,80210050,JARDIM BOTANICO,CURITIBA,PR,"-25,4392467","-49,250692",11442
RUA VEREADOR VICENTE TALAMINO,SN,12908850,CONJUNTO HABITACIONAL SAADA NADER ABI CHEDID,BRAGANCA PAULISTA,SP,"-22,9309027","-46,5435561",11444
AVENIDA GUAPORE,SN,76812139,J DAS MANGUEIRAS,PORTO VELHO,RO,"-8,759815","-63,8612434",11445
RUA ARCINDO SARDO,460,86076140,JARDIM DAS AMERICAS,LONDRINA,PR,"-23,2858911","-51,1771235",11447
RUA HUMBERTO MONTE,832,60430232,BELA VISTA,FORTALEZA,CE,"-3,7513205","-38,5587464",11448
AVENIDA DAS ARAUCARIAS,,71936250,AGUAS CLARAS,BRASILIA,DF,"-15,8415964","-48,028829",11450
AVENIDA CAPITAO WALDEMAR PAULA LIMA,700,60862580,BARROSO,FORTALEZA,CE,"-3,8198415","-38,5082162",11451
RUA GETULIO VARGAS,,88160128,CENTRO,BIGUACU,SC,"-27,4972983","-48,6571237",11453
RUA MACHADO DE ASSIS,475,29360000,SAO MIGUEL,CASTELO,ES,"-20,6079668","-41,2021344",11455
LOCALIDADE ROD CIA AEROPORTO,SN,40301155,SAO CRISTOVAO,SALVADOR,BA,"-12,9116179","-38,3497623",11456
RUA FRANCISCO DE ANGELO,155,17370000,JARDIM BOM JESUS,SANTA MARIA DA SERRA,SP,"-22,5677985","-48,1626626",11457
AVENIDA PARANA,600,86920000,,KALORE,PR,"-23,803618","-51,6579633",11458
RUA CANASTRA,74,52111241,AGUA FRIA,RECIFE,PE,"-8,0194559","-34,8954901",11460
RUA 24 DE MARCO,3064,92850000,CENTRO,SERTAO SANTANA,RS,"-30,4610145","-51,6038774",11461
RUA VEREADOR ABEL AMBROSIO DA SILVA,306,55038170,BOA VISTA,CARUARU,PE,"-8,2773097","-35,9911104",11462
RUA SILVA JARDIM,530,99010240,CENTRO,PASSO FUNDO,RS,"-28,2556055","-52,4047288",11463
RUA DAS MARGARIDAS,324,94475440,SANTA CECILIA,VIAMAO,RS,"-30,0702475","-51,0991794",11465
QUADRA 404 SUL ALAMEDA,SN,77021600,PLANO DIRETOR SUL,PALMAS,TO,"-10,2079989","-48,3272062",11466
RODOVIA PA 263,,68488000,INDUSTRIAL,BREU BRANCO,PA,"-4,009358","-49,4614302",11467
RUA ANTONIO GARCIA DA COSTA,550,86840000,CENTRO,FAXINAL,PR,"-23,9995556","-51,3206688",11468
RUA MARIA DE LOURDES POYARES LABUTO,175,29060017,JARDIM DA PENHA,VITORIA,ES,"-20,2788571","-40,2914311",11469
RUA LUXEMBURGO,140,08598720,JARDIM ADRIANE,ITAQUAQUECETUBA,SP,"-23,4740529","-46,3232596",11470
RUA ALCIDES DE GODOY,73,13100020,JARDIM PARAISO,CAMPINAS,SP,"-22,9106006","-47,0398615",11471
RUA PAULINO VITAL DE MORAIS,134,05855000,PARQUE MARIA HELENA,SAO PAULO,SP,"-23,6604548","-46,7657495",11472
RUA GENERAL RENATO VARANDAS DE AZEVEDO,344,04855280,JARDIM TRES CORACOES,SAO PAULO,SP,"-23,7699656","-46,6852666",11474
AVENIDA SANTOS DUMONT,71,49035730,ATALAIA,ARACAJU,SE,"-10,988019","-37,0482208",11476
RUA GUIRICEMA,76,03930040,JARDIM SAO CRISTOVAO,SAO PAULO,SP,"-23,5790972","-46,5011292",11478
LOTEAMENTO RECANTO ANDAIA,51,44572530,ANDAIA,SANTO ANTONIO DE JESUS,BA,"-12,9698503","-39,2617368",11479
ESTRADA VICINAL SFS,405,15775000,ZONA RURAL,SANTA FE DO SUL,SP,"-20,2114344","-50,9271748",11480
AVENIDA BERNARDO SAYAO,1543,77700970,CENTRO,GUARAI,TO,"-8,8166667","-48,3833333",11481
RUA VICENTE MACHADO,489,85812151,REGIAO DO LAGO,CASCAVEL,PR,"-24,9552372","-53,4425823",11482
RUA DONA TERESA CRISTINA,169,79013580,GUANABARA,CAMPO GRANDE,MS,"-20,4246941","-54,5876171",11483
RUA DEZENOVE DE MAIO,166,03648080,VILA ESPERANCA,SAO PAULO,SP,"-23,5280275","-46,5276386",11485
ESTRADA VICINAL ROBERTO ROMANINI OSV CRUZ A SALMOURAO,,17700000,CESTOL,OSVALDO CRUZ,SP,"-21,7972251","-50,879763",11487
AVENIDA SENADOR QUEIROS,96,01026000,CENTRO,SAO PAULO,SP,"-23,5392968","-46,6353054",11489
RUA OTAVIO DIAS FERRAZ,76,95780000,SAO PAULO,MONTENEGRO,RS,"-29,7033923","-51,4893656",11491
RUA CORONEL MOSTARDEIRO,1127,99025100,BOQUEIRAO,PASSO FUNDO,RS,"-28,2639839","-52,4284547",11493
RUA SABINO DA SILVEIRA,SN,77455000,CENTRO,ALIANCA DO TOCANTINS,TO,"-11,3048588","-48,9412722",11494
RUA FREI TARCISIO,180,02118020,VILA MARIA,SAO PAULO,SP,"-23,5174021","-46,5937256",11496
RUA BELEM,895,78360000,NOSSA SENHORA APARECIDA,CAMPO NOVO DO PARECIS,MT,"-13,6598856","-57,883405",11498
AVENIDA DOS ANDRADAS,542,36036000,CENTRO,JUIZ DE FORA,MG,"-21,7515786","-43,3537021",11499
AVENIDA GOVERNADOR JULIO JOSE DE CAMPOS,325,78735330,PARQUE SAGRADA FAMILIA,RONDONOPOLIS,MT,"-16,4740092","-54,6102902",11501
RUA GERMANO AUGUSTO,57,03277110,VILA EMA,SAO PAULO,SP,"-23,582237","-46,5500098",11502
RUA LUCIANO F DA SILVA,121,06045360,JARDIM BELMONTE,OSASCO,SP,"-23,5757484","-46,7946735",11503
AVENIDA DOUTOR LUIZ TEIXEIRA MENDES,952,87015000,ZONA 5,MARINGA,PR,"-23,4316824","-51,9532526",11505
AVENIDA PANAMA,553,79740971,PIRAVEVE,IVINHEMA,MS,"-22,3088817","-53,8206575",11507
RUA MARCIANO CAPELLA,159,03669030,VILA RE,SAO PAULO,SP,"-23,5301788","-46,4935415",11509
RUA MANOEL ALVES DE MELO,277,69860000,PANTANAL,PAUINI,AM,"-7,7134893","-66,9925814",11510
RUA CONDOR,332,30516300,NOVA CINTRA,BELO HORIZONTE,MG,"-19,9486965","-43,9892886",11512
QUADRA 906 SUL ALAMEDA 3,SN,77023428,PLANO DIRETOR SUL,PALMAS,TO,"-10,2392329","-48,3211843",11513
RUA LUCIA VIVEIROS,535,59086005,NEOPOLIS,NATAL,RN,"-5,8633267","-35,2151659",11514
RUA JORGE MARTINS PINTO,1154,38408230,SANTA MONICA,UBERLANDIA,MG,"-18,9226746","-48,2453604",11515
QUADRA QC,9,72878360,PARQUE DAS FLORES,VALPARAISO DE GOIAS,GO,"-16,0712294","-47,9852008",11517
RUA SAMUEL ACACIO,223,77600000,BELA VISTA,PARAISO DO TOCANTINS,TO,"-10,183199","-48,8819822",11519
TRAVESSA 9 DE JANEIRO,1706,66060080,SAO BRAS,BELEM,PA,"-1,4552913","-48,4756982",11520
RUA BALTAZAR NAVARROS,320,78010020,BANDEIRANTES,CUIABA,MT,"-15,5999844","-56,0902804",11522
RUA DOUTOR MARURI,1117,89700063,CENTRO,CONCORDIA,SC,"-27,229587","-52,0214948",11523
RUA VOLUNTARIOS DA PATRIA,311,90030002,CENTRO,PORTO ALEGRE,RS,"-30,0268375","-51,2235348",11525
RUA CANTAGALO,12,23934115,JAPUIBA,ANGRA DOS REIS,RJ,"-22,9723985","-44,2994248",11527
RUA ERNANI AGRICOLA,520,30492040,BURITIS,BELO HORIZONTE,MG,"-19,9681826","-43,9688227",11528
AVENIDA FARRAPOS,1651,90220005,FLORESTA,PORTO ALEGRE,RS,"-30,0170085","-51,2077436",11530
RUA MAESTRO CARDIM,1211,01323001,LIBERDADE,SAO PAULO,SP,"-23,5717496","-46,6416933",11532
RUA JOAO DE MORAES,490,13970200,CENTRO,ITAPIRA,SP,"-22,4391234","-46,8219469",11533
TRAVESSA FRANCISCO LEONARDO TRUDA,40,90010050,CENTRO,PORTO ALEGRE,RS,"-30,0346471","-51,2176584",11534
TRAVESSA ITARARE,37,80060040,CENTRO,CURITIBA,PR,"-25,4319172","-49,263711",11535
AVENIDA CRISTIANO MACHADO,4000,31910810,SAO PAULO,BELO HORIZONTE,MG,"-19,8738407","-43,926771",11537
RUA DERCY BATISTA,6,65062160,BEQUIMAO,SAO LUIS,MA,"-2,5354424","-44,2444919",11538
RUA SOUSA VIANA,215,35700015,CENTRO,SETE LAGOAS,MG,"-19,4639278","-44,2424485",11539
PRACA PEDRO DE TOLEDO,207,12940270,CENTRO,ATIBAIA,SP,"-23,11464","-46,5584489",11540
SITIO SAO LUIZ,SN,17160000,APARECIDINHA,AREALVA,SP,"-22,0315047","-48,9139713",11542
RUA SAO PAULO,615,11462630,PAECARA,GUARUJA,SP,"-23,9820442","-46,2033443",11543
RUA SAO BENEDITO,226,04735000,SANTO AMARO,SAO PAULO,SP,"-23,6506494","-46,7028322",11545
RUA ALEMANHA,1110A,09240001,CAMILOPOLIS,SANTO ANDRE,SP,"-23,6291561","-46,5271014",11546
RUA SAO BENEDITO,873,04735000,SANTO AMARO,SAO PAULO,SP,"-23,6459005","-46,6997452",11547
RODOVIA MARECHAL RONDON,SN,18608840,DISTRITO INDUSTRIAL,BOTUCATU,SP,"-22,8903167","-48,4551637",11549
RUA CORONEL ANTONIO DA SILVA,521,35300032,CENTRO,CARATINGA,MG,"-19,7840057","-42,1391685",11550
RODOVIA BR 364,1250,76876802,MARECHAL RONDON,ARIQUEMES,RO,"-9,9038092","-63,0559975",11551
RUA SANTOS,305,09230480,CAMILOPOLIS,SANTO ANDRE,SP,"-23,6180594","-46,5284465",11552
RUA GENTIL OTAVIANO FUNDAO SANTOS,702A,29946290,GURIRI NORTE,SAO MATEUS,ES,"-18,7328831","-39,7628052",11554
RUA DOUTOR CRISTIANO REZENDE,2102,30622020,BONSUCESSO,BELO HORIZONTE,MG,"-19,9889466","-43,9921439",11555
AVENIDA MIGUEL ROSA ZONA NORTE,126,64000480,CENTRO,TERESINA,PI,"-5,0446853","-42,7662325",11556
AVENIDA JOSE RODRIGUES DO PRADO,324,78040000,SANTA ROSA,CUIABA,MT,"-15,5842189","-56,1164477",11557
RUA TUPINAMBAS,230,56395000,CHAFARIZ,LAGOA GRANDE,PE,"-8,9955037","-40,2762364",11559
AVENIDA PRESIDENTE TANCREDO NEVES,2812A,35300571,ZACARIAS,CARATINGA,MG,"-19,7735509","-42,1323744",11560
RUA GUIDO DUARTE,58,57020070,CENTRO,MACEIO,AL,"-9,667544","-35,7404679",11562
RUA INALDO MORAES ACIOLY,SN,55565000,CENTRO,SAO JOSE DA COROA GRANDE,PE,"-8,8967415","-35,1459931",11564
RUA GOVERNADOR VALADARES,32,39850970,CENTRO,ATALEIA,MG,"-18,0377486","-41,1109681",11566
RUA FELISBERTO PINTO MONTEIRO,55,13423052,JARDIM NOVA IGUACU,PIRACICABA,SP,"-22,7380141","-47,5966437",11567
RUA VICTOR MAZON,80,13604197,PARQUE DAS ARVORES,ARARAS,SP,"-22,326536","-47,3821142",11568
ESTRADA MUNICIPAL QUE VAI A PRAINHA TERCEIRA ENTRADA NA CURVA,,15290000,PALMEIRAS,BURITAMA,SP,"-21,0651542","-50,1440687",11570
RUA JOSE CANDIDO FERREIRA,50,18207812,TUPY,ITAPETININGA,SP,"-23,589095","-48,0487846",11572
